"Resturants_name","Resturants_phone","Resturants_Review_user","Resturants_Review_feedback","Resturants_Review_photos_image"
"Il Corvo Pasta","(206) 538-0999","Wendy D.","Came here at around 10:30am on a Friday, and there was already a line around the corner. I ended up waiting around 1.5 hours and was seated at 12. They have 3 pastas on the menu, 2 of which rotate daily. I ordered the beet fiore and house focaccia. The pasta was SO good. The main thing I take into consideration is flavor. The pasta sauce was so flavorful. It tasted super rich, and had a beautiful pink color.
The wait definitely was insane and it's hard to say if the food was worth the wait, but it's a must try at least once!","https://s3-media0.fl.yelpcdn.com/bphoto/slJAByUMzaJ-MFQWsPuWWw/348s.jpg"
"Il Corvo Pasta","(206) 538-0999","Preston M.","Tl;dr great pasta, can be on the salty side depending on your taste. Would give 4.75 stars if possible.
Finally made it out to this legendary pasta shop. I've heard only excellent things so I was excited to try their changing menu of pasta dishes. I ordered a pasta dish with clams and a lemon sauce which looked incredible.
First the pasta itself; it's amazing and totally worth it just to experience that alone. Good pasta is hard to find and I haven't had such great flavor and texture since I've been to Italy.
The sauces and ingredients used here really seem like top quality ingredients. The flavors are strong and compliment the pasta quite well.
The only downsides: the dishes tend to be on the salty side, but that could just be because I'm used to a lower sodium diet? Idk but most of my friends also agree. Secondly you don't get a ton of food so plan accordingly. 10/10 would recommend","https://s3-media0.fl.yelpcdn.com/bphoto/R8DGCFdQevd0UEE4XbVhRA/348s.jpg"
"Il Corvo Pasta","(206) 538-0999","Jason L.","I finally got around to dining here and I'm so glad I did! Since they're only open on the weekdays during lunch time, it makes dining here pretty inconvenient. Unless you work in the area or have the day off, coming out here might prove to be a little tough. If you do decide to come here, let me advise you to come at 10:30, 30 minutes before they open. You'd rather wait 30 minutes outside than possibly 1+ hours outside.
The menu rotates daily and they only have 3 pasta options. The day we went, they had pappardelle, orecchiette and torchiette. If you're unsure what type of pasta each one is, they have sample ones in front of the cash register so you can see. We decided to get one of each since it's such a pain to get out here. The portion sizes aren't too big since it's lunch time so I think two people can easily finish 3 orders. The pastas are delicious! They're all cooked perfectly al-dente and perfectly chewy. All three were amazing but I probably enjoyed the torchiette the best since it was the cheesiest of them all. Don't get me wrong though, they were all great!","https://s3-media0.fl.yelpcdn.com/bphoto/ch7fLWGfGftV7Zfoe84R5g/348s.jpg"
"Il Corvo Pasta","(206) 538-0999","Jason L.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/V2CSLC8sS0Rv2pimuHxTuQ/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Jason L.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/lU6rhfpfvhdveZtnf-R0AQ/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Dione L.","If you are trying to find the best pasta in Seattle. Its going to be right here. The line and preparing to wait in a lie isn't just the hype. The hype is seriously real. Please get the salad and focaccia if you're going to wait the whole time. I always get their bolognese because its just so good. I literally have dreams about the pasta and most importantly with sauce.
This place is truly unique because they post/ rotate their menu everyday and they only keep the bolognese. SOOOO GET THE BOLOGNESE.
Service is great and the resty is a VIBE.","https://s3-media0.fl.yelpcdn.com/bphoto/xoySGEv9VoUZziwbvZp52A/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Dione L.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/GzHhfX6wFOok6bZZWSBS-Q/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Victoria C.","I've been so excited to come to this place due to all the hype around it. I might have come on a slightly off day though.
We came the day after Christmas around 10:45 AM, 15 minutes before they open. And they aren't kidding when they say if you don't want to wait that long to come around 10:30 AM to get in line. The line was long. And it might have been because a lot of people were off the day after Christmas, so why not come to get some delicious pasta.
You order once you get to the front, and the cashier will tell you where to sit. Like everyone else says, they do have a good system. They bring out pasta to you pretty fast, you eat, bus your own tables, and just get moving. There always seemed to be an open seat right when you got to the register. My husband and I got all 3 of the pastas, an order of the housemade focaccia bread, the kale salad, the proscuitto, and one of the dulche de leche cookies. The bread was the best part of the meal, although I do wish it was a little warmer. But I understand that they're trying to get it out orders as fast as possible. The kale salad was fine, as we the proscuitto.
When the pasta finally came out, we weren't blown away. To us, the base of the pasta dishes kind of all tasted the same. I was hoping the bolognese would be a little more flavorful, but it was just okay. They do have take out boxes for you to grab on your own as well.
For the line and wait, I probably wouldn't come back here. We didn't find the wait worth it honestly. The parking around the area is pretty scarce as well. There are some lots where you pay $10 an hour. Otherwise street parking is going to take you a little while to find.","https://s3-media0.fl.yelpcdn.com/bphoto/nE6yYiso8nD9NisAT_gn1Q/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Victoria C.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/kP42voYBqVK4EQ3X5VHKuw/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Phil H.","Absolutely loved the whole experience here.
We were in town for a few days to explore Seattle before our Alaskan cruise and wanted to hit up a spot for lunch where the locals eat. II Corvo was highly recommended.
As advertised, there is a wait and the line can be long. We got on it and patiently waited. Moved decently overall and we got in after a while.
You head up to the main counter and place your order. Staff is very friendly and will find you a spot to eat, even if there is a small wait until other diners finish up. It's not the biggest place and it was packed while we were there. Was told this is pretty much the norm. Even so, they found our group of five a table within minutes.
The delicious house made pasta arrives fairly quickly. You grab your own napkins, utensils, water, and clean up after yourself once you're done. Each day they feature different pastas. At only $10 a plate it's super affordable. We each ordered different pastas to taste and share. Loved it.
Oh snap that focaccia bread. It's pretty awesome. It's the crack of carbs. Dipping oil too. The kale salad blew my socks off. I hate kale, as do most of my group, but we fought over this bowl and devoured it.
One of the best lunch experiences we had while on vacation.","https://s3-media0.fl.yelpcdn.com/bphoto/8KwXfLzWfFEtvoUL1GDDJA/348s.jpg"
"Il Corvo Pasta","(206) 538-0999","Phil H.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/sCMRknLLk5g6_i0_xBdB2g/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Phil H.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/LzKNS1uvT2ZPTy289gWWzw/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Mandi W.","I stupidly came here at lunchtime... Whyyyyyyyyyy?!?!?!
1 hr 9 minutes later, we're finally seated. That line is deceiving though. You have your outside line... But once you get to the front you realize there's an inside line lol. Whyyyyyy?!?!
Anyways, once you make it to the front of the inside line, you order, find your seat, and staff will bring your food out. Once finished, bus your own table and be on your way.
Their pasta menu changes daily except for the pappardelle. We got that and the campanelli. Both had great flavor, and noodles were fresh and cooked perfectly al dente.
They'll seat you at any open table so you'll most likely be joining another party. Obviously parties of two are easiest here and it seemed most common.
Tldr: good pasta, long lines, not sure if it's worth that wait. I'll try again at an off time. Stay tuned.","https://s3-media0.fl.yelpcdn.com/bphoto/R3zmsO_RIXIUt7ZJ2_ISlA/348s.jpg"
"Il Corvo Pasta","(206) 538-0999","Mandi W.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/GHvNIwXtYDY_hXU0swR-zA/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Mandi W.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/Yj-hd_UEP04dPRVlqr_sxQ/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Tina Z.","We came on a Friday about 1 hour after the restaurant opened. I was absolutely amazed at the line that was already wrapping around the block and even contemplated on eating somewhere else.
We ended up waiting about an hour and 15 mins prior to order. To think I almost didn't try this place saddens me because what a one-of-a-kind this place is. We got their two daily specials as well as their kale salad. Both pastas were literally the most perfectly al dente pasta I have ever had- there is absolutely no doubt the lines are long!
This place opens only for 4 lunch hours 5 days a week. Each day, they make two to three pasta dishes with ingredients all different from the last (menu announced every day about 1-2 hours before opening on Instagram). Some dishes have ingredients I normally would not order in my pasta, but if Il Corvo made it, I would definitely try it.","https://s3-media0.fl.yelpcdn.com/bphoto/EiCvWtgSbxFh0FTfUaCsww/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Tina Z.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/jHoDz71OQJo02bLxnKDVwg/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Carol L.","BEST PASTA EVER! I would definitely give this place more stars if it were possible.
There is a long line, but most good places in Seattle do. I started lining up at 10:30 AM and got seated by 11:30. They don't let you save seats so you order first and a waiter will both guide you to an assigned seat and deliver the food.
One of the coolest things about this place is that they change their pasta menu daily. They have a classic pasta, which is always on their menu, called the pappardelle and it's amazing. The pasta is cooked to al dente and the meat sauce covers every little inch of that pasta. I still salivate thinking about it. Their other two kinds of pasta change daily according to what seasonal or fresh ingredients come about. You can follow their Instagram to see what the chef decides to make. Honestly, all their pasta are great though so I highly recommend you try them all. I also recommend getting the focaccia bread and the kale salad. They might not be on the top of your list of foods to try, but I promise you won't regret it!
All in all, everything was great from the food to the service. It's worth the hype and the recognition it gets. I'm currently still looking for something similar in LA, but have yet to find it. Really hoping they open a restaurant down here, but also a little worried that I would eat there WAY too often if they actually did.","https://s3-media0.fl.yelpcdn.com/bphoto/ur9dG1T701gCybo8Eg_KqA/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Carol L.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/jGShYnPcb5MAQETYwqRJ1A/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Rebecca B.","I was visiting family for the holidays and waited in line on Christmas Eve for 40 minutes starting at 10:20am before opening and have no regrets. There was a line to the corner block by 10:30. My little brother, an aspiring chef, made me watch the Eater episode featuring Il Corvo the night before, but it didn't take much convincing to wait in the cold with him in order to be one of the first customers in the door.
We ordered a feast of the kale salad, focaccia, pappardelle bolognese (the staple signature dish), pasticcio, and wine. The menu changes and Il Corvo announces daily what three pasta dishes will be served that day. Tip: check Instagram for updates. You can't go wrong whatever you order. The kale salad had a delightful crunch with a lemon dressing and generously sprinkled cheese. The house focaccia is unlike any focaccia I've ever had. There is no way to accurately describe the doughy, chewy, fluffy goodness. The quality and ingredients is unlike any other. The pasta itself was everything the reviews said it would be. Each pasta dish is reasonably priced at just over $10. I'm convinced I won't find pasta like this anywhere near me in Colorado and I'll be waiting in line again during my next visit.
My only regret about Il Corvo is that it is a quite small restaurant. Since word of its superior pasta has spread, there is a line that extends from the front register where you order and pay and wraps out onto the block. You will likely share a table (family style) in order for Il Corvo to serve more customers. I think this is actually a fun family-like environment but others may find it stifling as people bustle next to you waiting in line as you try to enjoy your food. Nevertheless, the pasta is worth it.","https://s3-media0.fl.yelpcdn.com/bphoto/C4DUKfRd_87gVqW5KL3MCA/348s.jpg"
"Il Corvo Pasta","(206) 538-0999","Rebecca B.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/LnU59j9j7h_x9IlbGWHpTQ/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Rebecca B.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/-rwBeK-wAMSAufjwIWMYOQ/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Rachel Z.","I visited Seattle over Thanksgiving and decided to try Il Corvo after one of my friends raved about it. We arrived right at 11am on a Wednesday and the line was already around the corner! We ended up waiting around 1 hour and 15 minutes before we ordered our food at the counter. One thing that really stuck out to me was how reasonably priced the pasta was ($11 each). There are only 3 pasta entrees available to order each day. With a table of 3, we ordered 2 kale salads and one of each pasta offered that day: Pappardelle, Pasticcio, and Calamaretti.
The kale salad was really good. Not a surprise that almost everyone orders it. It's light and very refreshing. My favorite pasta was the Calamaretti, which had a really rich saffron and calamari broth. The Pasticcio was heavier and cheesy because it was baked in a pomodoro sauce. My least favorite was the Pappardelle because, despite the perfectly cooked pasta, the sauce was too dry.
Overall, I definitely think that the pasta at Il Corvo is great but I don't think I would wait in line again for over an hour to eat here. The atmosphere is also very hectic because there's a line of people through the middle of the restaurant. It's really crowded and because you have to bus your own table, it's a little bit of a headache navigating around the huge line of people when carrying dishes and glassware.","https://s3-media0.fl.yelpcdn.com/bphoto/QDSrOlmTQK4ERvCXMx0xdA/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Rachel Z.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/5uq0nRnx6C7OJKxuQUIkIA/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Rachel H.","Finally was in the area around lunch to try this place out! Line wasn't too bad, as I came pretty late into the lunch hour.
I got the Bolognese and it was tasty! The texture of the sauce was a little soft for me, but the pasta itself was amazing. I would definitely come back to try some of their daily pasta's but not sure it totally lived up to they hype.",""
"Il Corvo Pasta","(206) 538-0999","Lindsey S.","The famous Il Corvo is someplace that has been on my list of places to try out for a while, and so to be in between jobs, it gives me a lot of time to go out and explore. SInce Il Corvo is only open for lunch, I knew I had to go as soon as possible. I went at around 1PM on a weekday and was expecting a huge line and wait, but when I arrived, there were only about 4 people in front of me at the door. Of course inside, the line extends, but I stepped inside fairly quickly. The place does get very, very crowded, but what I loved is that you don't have people waiting around trying to fight for a table. Once you order, the person at the register will tell you where to sit. People seemed to come and go at a pace that was easy for everyone to get seated right after ordering. They have that system DOWN.
We ordered the pappardelle and conchiglinie pasta dishes, and started off with the house focaccia and prosciutto di parma. The two appetizers came out almost as soon as we sat down. The focaccia-AMAZING. A must. Then prosciutto di parma was also DELICIOUS, and I would definitely order both again. The olive oil on the prosciutto was so fragrant ! The noodle dishes honestly, were not the BEST I've ever had, and I felt that I might have had too high of expectations, but they were satisfying. For the pappardelle, it was a little too hearty for me. I like pasta sauce to have a hint of sweetness, and the sauce for this dish wasn't that tomatoey. The cochinglinie was very salty and spicy, and it was good at first, but became a bit overpowering at the end.
I say that I would recommend Il Corvo to those visiting Seattle, and that the wait is worth to just try it out, but in terms of homemade pasta, there are other places that have the same quality for an equal price. Very good, and I will be back to curb my curiosity of their other dishes.","https://s3-media0.fl.yelpcdn.com/bphoto/E1DY-hDrc9asNB7SdFqS3w/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Lindsey S.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/2uwExwW_R7SxzBtWbh_TUA/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Mia C.","For the price, portion, and quality of the pasta, iL Corvo is solid. However, I would not wait in line for over an hour to come here vs others in the area like Pasta Castalinga or Due Cucina, where there is no line. The pesto pasta and signature parpardelle were both good, and I love the olive oil they use here. Their open hours are only suited for people who are able to come at 10:45am, and even then it would be a 45 min wait before being able to eat. Not convenient. Good pasta.",""
"Due’ Cucina Italiana","(206) 397-4375","Karrissa D.","I called this evening to verify their cacio e pepe is vegetarian, and it is! yay!
I ordered the cacio e pepe and a slice of sourdough bread through uber eats. The flavor of the cacio e pepe is quite different from what I've had before, I think it's the aged cheese that really made the difference. It was delicious though! The pasta was perfectly cooked (& fresh!) and the 'sauce' still had a really good pepper flavor. The sourdough also came with a light drizzle of olive oil and salt which complemented the pasta perfectly.
Only downside was the temperature, but that's a given with delivery. Definitely looking forward to being able to visit once everything is back open, as this was my first time trying their food. I'm for sure going to order some fresh pasta for home in the future too.",""
"Due’ Cucina Italiana","(206) 397-4375","Andrea O.","Even in these challenging times (covid-19 lockdown) these guys are rocking it. They reconfigured the restaurant for to go/delivery only orders. Got my usual favorites to go and everything was amazing. Will keep supporting them during this difficult moment, consider doing the same!","https://s3-media0.fl.yelpcdn.com/bphoto/_2Vvfd3Sa2Cvj1lpCVBpBQ/348s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Andrea O.","Even in these challenging times (covid-19 lockdown) these guys are rocking it. They reconfigured the restaurant for to go/delivery only orders. Got my usual favorites to go and everything was amazing. Will keep supporting them during this difficult moment, consider doing the same!","https://s3-media0.fl.yelpcdn.com/bphoto/PrPz488vL2YOt0wk3dGt0Q/168s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Andrea O.","Even in these challenging times (covid-19 lockdown) these guys are rocking it. They reconfigured the restaurant for to go/delivery only orders. Got my usual favorites to go and everything was amazing. Will keep supporting them during this difficult moment, consider doing the same!","https://s3-media0.fl.yelpcdn.com/bphoto/gsvEXScSJTydPVehvV3Ytw/168s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Becca H.","Due' Cucina is a great spot for lunch or dinner! The prices are great, the servers and atmosphere are relaxed and welcoming, and the food is amazing. My go-to order is the Traditional Bolognese Ragu with traditional spaghetti. My boyfriend orders the Aglio & Olio with healthy campanelle and adds fried tofu. Be sure to get tiramisu, sharing is an option size-wise, but you won't want to. It's to die for! We placed an order for pick-up today since the city is still under the stay-at-home order. There was no fuss and no wait to get our food. We're going to continue supporting Dué through the coronavirus pandemic and beyond. Yum!!!","https://s3-media0.fl.yelpcdn.com/bphoto/Io3kLWuLW_vao5UJhbr0Bw/348s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Jen H.","Thank goodness this place delivers all the way to Kirkland! I miss eating out in Seattle so I was super thankful and appreciative that we were in the delivery area.
I ordered the kale pesto campanelle and it was amazing!! I would definitely order this again. It was cooked perfectly - nice and chewy. My partner ordered the eggplant parm and he was a little disappointed with the portion size; it came in a tiny little box. He was jealous of my kale pesto pasta which I hesitantly shared with him. We shared the tiramisu at the end of our meal and it was fantastic, one of the best tiramisu I have had in awhile. Definitely planning on ordering here more while this pandemic is going on. Highly recommend!",""
"Due’ Cucina Italiana","(206) 397-4375","Richard U.","3.5 star place!
Interesting casual dining pasta place up in Cap Hill. I was looking to support local restaurants still open during the shelter at home mandate in effect and luckily they are still open for take out.
Stuff tried:
Eggplant parmesan: i am only person i know that actually craves eggplant parm. The version here is not crispy at all but it is exceedingly delicious! My only gripe is that the portion size is tiny. If you are remotely hungry i would order two servings.
Mushroom with truffle oil on healthy pasta: i am a sucker for mushroom truffle oil anything. Chose the healthy pasta which is made from some type of bean flour instead of wheat giving it a toothy consistency. The pasta has touted health benefits but the consistency might be offputting for some folks. Flavor was pretty good however
Bruschetta caprese: nice slab of grilled bread with fresh toppings. I admit that the to go version seems to have left my bruschetta a bit soggy. Eat this first next time","https://s3-media0.fl.yelpcdn.com/bphoto/Xoku7j-ZOU5jvm3JZRcEbA/348s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Richard U.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/svFuiNhFIZr_mVvGwj_EyA/168s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Richard U.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/lz8f7fUk4MW1Hyg1t4EIaA/168s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Holly L.","The pasta was very tasty! Excellent. If I had eaten on-site, I'd probably rate higher. I love that you can really taste the truffle oil in the mushroom pasta dish. The pomodoro was simple but hit the spot.
However, I ordered delivery through Yelp/Grub Hub and it was an awful wait. On yelp, it said 30-50 min wait time. However I waited 1.5 hours or 40 mins to 1 hour more wait time than I expected. I was tired and hadn't eaten for more than 9 hours so I picked the place that could be the least amount of wait. The restaurant blamed the grub hub driver, and when I called grub hub they weren't taking calls. After my 3rd call to grub hub, they also blamed the driver and gave me a lousy 10% discount for my next purchase.
I'd probably eat here again but NEVER use delivery.","https://s3-media0.fl.yelpcdn.com/bphoto/sywfceB8Q1RP7RaZqom2BA/168s.jpg"
"Due’ Cucina Italiana","(206) 397-4375","Holly L.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/L5daCAqTZuc57bnTlvmiwA/168s.jpg"
